code,title_ko,level,parent_code,name_en
7621,산업 전기공,unit,762,Industrial Electricians
7622,내선 전기공,unit,762,Wireworkers
7623,외선 전기공,unit,762,Lineworkers
77,정보 통신 및 방송장비 관련 기능직,middle,7,
771,정보 통신기기 설치 및 수리원,minor,77,
7711,컴퓨터 설치 및 수리원,unit,771,Computer Fitters and Repairers
7712,이동전화기 수리원,unit,771,Cell Phone Repairers
7719,기타 정보 통신기기 설치 및 수리원,unit,771,Other Information and Communication Technologies Equipment Fitters and Repairers
772,방송·통신장비 관련 설치 및 수리원,minor,77,
7721,방송 관련 장비 설치 및 수리원,unit,772,Broadcast-related Equipment Fitters and Repairers
7722,통신 관련 장비 설치 및 수리원,unit,772,Telecommunications-related Equipment Fitters and Repairers
7723,통신·방송·인터넷 케이블 설치 및 수리원,unit,772,"Telecommunications, Broadcasting and Internet Network Cable Fitters and Repairers"
78,건설 및 채굴 관련 기능직,middle,7,
781,건설 구조 관련 기능 종사자,minor,78,
7811,강구조물 가공원 및 건립원,unit,781,Steel Structure Workers and Builders
7812,경량 철골공,unit,781,Lightweight Steel Frame-related Workers
782,건설 관련 기능 종사자,minor,78,
7821,철근공,unit,782,Reinforcing Ironworkers
